id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
894,Brer Rabbit,orci nullam molestie nibh,Juditha Frounks,1995,Novel,English,Norway,magna bibendum imperdiet nullam orci pede venenatis non
895,The Bremen Town Musicians,donec quis orci eget orci vehicula,Stanley Ascrofte,2010,Short story,English,Norway,dis parturient montes nascetur ridiculus mus vivamus vestibulum
896,The Fox and the Grapes,nullam porttitor lacus at turpis,Lenard Guye,2012,Short story,English,France,metus vitae ipsum aliquam non
897,The Fox and the Grapes,urna ut tellus nulla ut,Madge Adolphine,2003,Short story,English,Estonia,sem praesent id massa id nisl venenatis
898,Little Red Riding Hood,mattis pulvinar nulla pede,Toni Buxey,2012,Short story,English,Barbados,erat nulla tempus vivamus in felis eu sapien cursus vestibulum
899,Brer Rabbit,vestibulum rutrum rutrum neque aenean auctor,Alla Sproul,2007,Novel,English,India,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
900,Cinderella,justo sollicitudin ut suscipit a,Waylen Janda,2001,Short story,English,Turkey,
901,The Bremen Town Musicians,augue aliquam erat volutpat in,Noe Neachell,2011,Novel,English,Malaysia,
902,Goldilocks and the Three Bears,malesuada in imperdiet,Ashli Yakuntzov,1995,Short story,English,Dominica,rutrum at lorem integer tincidunt ante
903,Henny Penny,vestibulum vestibulum ante ipsum,Caty McCowen,2012,Short story,English,United States,sed interdum venenatis turpis enim blandit
904,Trickster Tales,tellus nisi eu orci,Audry Schuelcke,2003,Novel,English,Nepal,eget eleifend luctus ultricies
905,Hans in Luck,pretium quis lectus suspendisse,Cory Springell,1996,Short story,English,Norway,non quam
906,Sleeping Beauty,magna ac consequat metus sapien,Nannie Kybird,2006,Short story,English,China,venenatis turpis enim blandit mi
907,The Fox and the Grapes,venenatis non sodales sed tincidunt eu,Krystalle Jealous,2001,Novel,English,Japan,
908,Goldilocks and the Three Bears,eu est congue,Rosaline Petrello,2005,Novel,English,Nepal,etiam faucibus cursus urna ut tellus nulla ut
909,Seven Swabians,mi nulla ac,Patty Hasnney,2002,Short story,English,France,in faucibus
910,Trickster Tales,et tempus semper est quam pharetra,Land McFeat,2009,Short story,English,United States,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
911,Hans in Luck,consequat in consequat,Rodie Bertome,1967,Novel,English,Russia,sit amet diam
912,The Little Red Hen,sodales sed,Shir Baake,2000,Short story,English,Turkey,amet sapien dignissim vestibulum
913,The Lion and the Mouse,pulvinar sed nisl nunc,Brana Thunnercliff,1994,Novel,English,Serbia,integer pede
914,Snow White,vestibulum ante ipsum primis in faucibus,Donica Clamp,2007,Short story,English,China,ullamcorper augue a
915,Sleeping Beauty,etiam vel augue,Dell Eskriet,1994,Short story,English,India,
916,Trickster Tales,molestie nibh,Sissie Gateland,2006,Novel,English,Serbia,ut blandit
917,Hans in Luck,amet erat nulla tempus vivamus,Christa Troup,1995,Novel,English,Iceland,blandit nam nulla integer
918,Fractured Fairy Tales,fermentum justo nec,Eloise Mingauld,1999,Short story,English,Hungary,et ultrices posuere
919,The Fox and the Grapes,tellus semper interdum mauris,Ilene Bredee,1992,Short story,English,Russia,tincidunt eu felis fusce
920,Jack and the Beanstalk,sed justo pellentesque viverra pede,Norrie Rutgers,2000,Short story,English,Hungary,eros viverra eget congue eget semper rutrum nulla nunc
921,Goldilocks and the Three Bears,ridiculus mus vivamus vestibulum sagittis sapien,Mozes Ilyasov,1992,Short story,English,France,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
922,The Princess and the Pea,in hac habitasse platea dictumst,Brigit Lazarus,1988,Short story,English,Thailand,nibh fusce lacus purus aliquet at feugiat
923,Sleeping Beauty,sed lacus morbi sem,Reese Colquite,2000,Novel,English,United States,curabitur at
924,Snow White,libero nullam sit,Emmalynn Butchart,1987,Novel,English,Iceland,
925,Little Red Riding Hood,at feugiat,De Bygrave,1997,Novel,English,Thailand,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
926,Tom Thumb,neque sapien placerat,Freida Ganter,2008,Novel,English,Haiti,eleifend donec ut dolor morbi vel lectus in quam
927,The Grasshopper and the Ants,suspendisse potenti nullam porttitor,Stanford Bawme,1995,Short story,English,Jamaica,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
928,The Fox and the Grapes,aenean fermentum donec,Alphonse Titmuss,1993,Novel,English,Haiti,ac lobortis vel
929,Puss in Boots,ipsum praesent blandit lacinia,Benedikta Brunel,2011,Short story,English,Iceland,augue a suscipit nulla elit ac nulla sed
930,The Bremen Town Musicians,viverra eget congue eget,Babbette Ruddlesden,1998,Short story,English,United States,interdum mauris non ligula pellentesque ultrices phasellus id
931,The Town Mouse and the Country Mouse,magna bibendum imperdiet nullam orci,Torrance Luckin,2003,Short story,English,Sweden,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
932,The Lion and the Mouse,sed interdum venenatis turpis enim,Thomasine Bodycote,2012,Novel,English,Germany,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
933,Hansel and Gretel,vel dapibus,Brittaney Metterick,2012,Short story,English,Serbia,vestibulum sit amet cursus id turpis integer aliquet massa id
934,Hansel and Gretel,pellentesque at nulla suspendisse potenti,Greta Lattimore,2006,Short story,English,Germany,
935,Ghost Stories,hac habitasse,Betteanne Kyte,1996,Short story,English,Mexico,
936,Brer Rabbit,sed magna at nunc,Maye Matuskiewicz,1963,Short story,English,Japan,sed accumsan felis ut at dolor quis odio consequat varius integer
937,Rapunzel,vestibulum ante ipsum,Lorita Danielut,2003,Short story,English,Hungary,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
938,The Teeny Tiny Woman,quis justo maecenas rhoncus aliquam lacus,Orazio Jurasek,2005,Novel,English,Germany,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
939,Gingerbread Man,sit amet,Collin Simmgen,2007,Short story,English,Thailand,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
940,Ghost Stories,aliquam erat,Evy Crolly,2011,Novel,English,Italy,
941,Rapunzel,rutrum at lorem,Carmencita De Gregario,1992,Novel,English,Sweden,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
942,Ghost Stories,sagittis nam congue,Valina Manclark,2009,Short story,English,Serbia,auctor sed tristique in tempus sit amet sem fusce consequat
943,The Teeny Tiny Woman,magna vulputate,Joby Eastham,1999,Short story,English,Iceland,ac tellus semper interdum mauris ullamcorper purus sit
944,The Ugly Duckling,at turpis,Halsey Kubat,2005,Short story,English,Indonesia,lacinia nisi venenatis
945,Snow White,turpis nec euismod scelerisque quam turpis,Jada Nickoll,1993,Novel,English,Turkey,
946,Hansel and Gretel,dictumst maecenas,Rina Burman,2003,Novel,English,United States,mauris vulputate elementum nullam varius
947,The Lion and the Mouse,sociis natoque penatibus et,Raye Fildes,2012,Short story,English,United Kingdom,neque vestibulum eget vulputate ut ultrices vel augue vestibulum
948,Snow White,mauris lacinia sapien quis libero,Beau Widmoor,1995,Short story,English,Japan,eu nibh quisque id justo sit
949,Hans in Luck,quam fringilla rhoncus,Shalne Cisson,1985,Short story,English,Romania,metus arcu adipiscing molestie hendrerit
950,The Grasshopper and the Ants,est quam pharetra magna ac consequat,Paquito Brundrett,2008,Novel,English,Singapore,nunc donec quis orci eget orci vehicula condimentum
951,The Fisherman and his Wife,suscipit a,Zondra Starie,2012,Novel,English,Norway,
952,Trickster Tales,adipiscing molestie hendrerit at,Jerry Marian,2006,Novel,English,Singapore,nulla justo aliquam quis turpis eget
953,Tom Thumb,aliquam sit amet diam,Stephi Frome,2002,Short story,English,Singapore,diam id
954,Puss in Boots,et tempus semper est quam pharetra,Tresa Caulder,1992,Short story,English,Romania,ac diam cras pellentesque volutpat dui maecenas tristique est et
955,Puss in Boots,in consequat,Jack Klimt,2010,Short story,English,Serbia,dignissim vestibulum vestibulum ante ipsum primis
956,Stone Soup,posuere cubilia curae duis faucibus accumsan,Gib Duddin,2013,Novel,English,Indonesia,arcu sed augue
957,Sleeping Beauty,velit donec diam neque,Mindy Bourgour,1992,Novel,English,Vietnam,pulvinar nulla pede
958,The Grasshopper and the Ants,in hac habitasse platea dictumst,Irita Mapother,2009,Novel,English,Japan,pretium quis lectus suspendisse potenti in
959,Henny Penny,nulla eget eros elementum pellentesque,Tori Viscovi,1996,Novel,English,Hungary,duis consequat dui nec nisi volutpat
960,Sleeping Beauty,ultrices posuere cubilia curae,Frederich Durram,1999,Novel,English,Spain,orci eget orci
961,Jack and the Beanstalk,et ultrices posuere cubilia curae,Saundra Newis,2004,Novel,English,Vietnam,justo etiam pretium iaculis justo in hac habitasse platea dictumst
962,Puss in Boots,in consequat ut nulla,Nickie Robberecht,1993,Novel,English,Nepal,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
963,Hans in Luck,tincidunt ante vel ipsum,Mallorie Troake,2002,Novel,English,Greece,
964,Hans in Luck,diam vitae quam suspendisse,Donnell Philpotts,1986,Novel,English,Spain,vivamus in felis eu sapien cursus vestibulum
965,The Town Mouse and the Country Mouse,nonummy integer non,Katti Discombe,1984,Novel,English,Portugal,
966,The Grasshopper and the Ants,nulla integer pede,Davis Rolingson,2003,Short story,English,Nepal,felis eu sapien cursus
967,Goldilocks and the Three Bears,sem mauris laoreet,Sol Conkling,2012,Short story,English,Germany,molestie sed
968,The Fisherman and his Wife,maecenas leo odio condimentum,Rafaela Bahls,2012,Short story,English,Malaysia,in eleifend quam a odio in
969,The Lion and the Mouse,diam id ornare imperdiet sapien,Guthry McFfaden,1986,Novel,English,Norway,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
970,Hansel and Gretel,convallis duis consequat dui nec nisi,Anastassia Poone,1990,Novel,English,Sweden,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
971,The Fisherman and his Wife,porttitor lorem id ligula suspendisse,Aubrette Gheorghescu,1998,Novel,English,Romania,scelerisque mauris sit amet eros suspendisse accumsan tortor
972,Little Red Riding Hood,varius nulla facilisi cras non,Adina Prestige,1996,Novel,English,Portugal,neque duis bibendum morbi non quam nec dui luctus
973,Jack and the Beanstalk,eget massa tempor convallis,Brett O'Cosgra,1983,Novel,English,Haiti,sem sed sagittis nam congue risus semper porta volutpat quam pede
974,The Lion and the Mouse,est et tempus semper est quam,Bekki Mordin,1999,Short story,English,Malaysia,augue vestibulum ante ipsum primis in faucibus
975,Fractured Fairy Tales,quisque id justo sit,Duncan Wawer,2000,Novel,English,India,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis
976,Seven Swabians,libero nullam sit amet,Phaedra Lindholm,2004,Short story,English,Norway,
977,Goldilocks and the Three Bears,tincidunt nulla mollis molestie,Sheila-kathryn Olyfant,2000,Short story,English,Estonia,primis in
978,Goldilocks and the Three Bears,semper est quam pharetra magna,Minor MacGee,2009,Novel,English,France,mattis odio donec vitae nisi nam ultrices libero non mattis
979,Gingerbread Man,faucibus orci luctus et,Eada Becconsall,2005,Novel,English,Thailand,mus vivamus vestibulum
980,Gingerbread Man,dignissim vestibulum,Meggie Filchagin,1996,Novel,English,Portugal,curabitur gravida nisi at nibh
981,Belling the Cat,sapien placerat ante nulla justo aliquam,Dorris Fawdery,1991,Novel,English,Barbados,sed lacus
982,Puss in Boots,integer a nibh in,Alidia Zanitti,1992,Novel,English,United States,praesent id massa id nisl venenatis
983,The Teeny Tiny Woman,bibendum morbi non,Aaron Gosford,1994,Short story,English,Japan,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
984,Cinderella,ornare imperdiet sapien urna,Stevie Sturdgess,1997,Short story,English,Greece,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
985,The Ugly Duckling,rutrum nulla tellus,Biddie Helks,2010,Short story,English,Grenada,tristique in tempus
986,Gingerbread Man,ut nulla,Melly Whitfield,2003,Novel,English,Turkey,risus dapibus augue vel accumsan tellus nisi eu orci
987,Gingerbread Man,cras mi pede malesuada in,Martie Fallanche,1994,Short story,English,Nepal,vel lectus in quam
988,The Grasshopper and the Ants,aliquam sit amet diam,Tatum Bindin,2001,Short story,English,Malaysia,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
989,Snow White,eu magna vulputate,Sande Dunbleton,2006,Novel,English,Estonia,sed sagittis nam congue risus semper porta
990,Trickster Tales,non mauris morbi non lectus,Elmer Revel,1993,Short story,English,Japan,at lorem integer tincidunt ante vel
991,Little Red Riding Hood,nisl duis bibendum felis sed,Nye Crumbie,1999,Novel,English,Vietnam,viverra dapibus nulla suscipit
992,Snow White,fermentum justo,Raynard Housecroft,1997,Short story,English,Vietnam,vestibulum aliquet ultrices
993,The Ugly Duckling,ut massa quis,Jon Pellamonuten,2003,Novel,English,Turkey,enim lorem ipsum dolor sit amet
994,Rapunzel,pede libero quis orci,Tillie Glowacz,1956,Novel,English,Vietnam,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
995,Seven Swabians,in faucibus orci,Jada Assante,2008,Novel,English,Malaysia,a nibh in quis justo maecenas rhoncus aliquam
996,Hans in Luck,consequat morbi,Jeri Chinnock,2005,Novel,English,Indonesia,sit amet nunc viverra dapibus nulla suscipit ligula
997,The Princess and the Pea,vel dapibus at diam,Emmie Baudasso,1986,Novel,English,Japan,aliquam non mauris morbi non lectus aliquam sit
998,Chicken Little,vel enim sit,Bayard Ferries,2006,Short story,English,United Kingdom,ornare imperdiet
999,Puss in Boots,a nibh in quis justo maecenas,Eustace Stubbert,2008,Novel,English,Romania,
1000,Goldilocks and the Three Bears,erat eros viverra eget congue,Tabb Kettle,2006,Novel,English,Thailand,
